session_id,variant,dataset,round,accuracy,loss,f1_macro,f1_weighted,precision_macro,recall_macro,specificity_macro,auc_macro,num_samples,num_classes,blockchain_blocks,round_wall_time_s,model_payload_bytes,ipfs_model_cid,ipfs_metrics_cid,ipfs_local_cid,ipfs_vote_cid,timestamp,f1_class_0,f1_class_1,f1_class_2,f1_class_3,f1_class_4,f1_class_5
baseline_20260624_202221,baseline,UCIHAR,9,0.9270444519850696,0.23612052806593636,0.9277016368046317,0.9269002431715734,0.9285654959638343,0.9284128601690481,0.9853715630239551,0.9905947172576566,2947,6,4147,74.47,3420320,QmYM9Gegy686dauVefis1Ndk93MEd2kAomHHqy8pbj6Vz5,Qmask3QUMqYrmo4uUhS5gA3kfVmRtK2J9BFfgPZjuzkLVj,QmPYukKA7MNxC4YmseymdfXJo8Vg9oW3WsHzrfsVarYFYE,QmZSGmJgAaWuvAWoYzenCpN1cuzPJ6g63K5Re4SdSsyoqU,2026-06-24T21:07:52.754266,0.9795501022494888,0.9685124864277959,0.9533560864618885,0.8177966101694916,0.8469945355191257,1.0
baseline_20260624_202221,baseline,UCIHAR,10,0.9290804207668816,0.23858820397327554,0.9295535232958126,0.9289218639138465,0.9307824423961808,0.9302554073910235,0.9857836945616884,0.9909243116447204,2947,6,4150,70.43,3420320,QmcTeT13iP3CnU9tywzotTTJRq99hyMUKAQUaZ7QisAh8i,QmdiwUvcnWDbTew8gp37A2vodB5LkB8VHHNSgj6Y3kcvbt,QmVRcGmzX2iBfjoFzEVDGv3JJkMHdo4nBphEzFFfUGFSFS,QmSK3Tt6w626TCYvLAzsyXu2ZcD8HjCtoCT1XE9p9b5LT3,2026-06-24T21:12:47.362883,0.9785056294779939,0.967391304347826,0.9511918274687855,0.8251599147121536,0.855072463768116,1.0
baseline_20260624_215747,baseline,UCIHAR,0,0.14726840855106887,1.7959263705192727,0.04356117635250426,0.043546394819978816,0.025559481743227325,0.1473183978275628,0.8295293887552863,0.33107600017105016,2947,6,4172,1782320285.62,3420320,QmVRT821p3yK1DJiRHf8EkwWaJWtKNw21k67LmEv2V8g7M,QmQfLqyUnnxZ3KhbpzL8J5WXHcYBZzDo7QHFGCgfZu4Sjr,,,2026-06-24T21:58:05.618634,0.0,0.0,0.0,0.2613670581150256,0.0,0.0
baseline_20260624_215747,baseline,UCIHAR,1,0.7343060739735324,0.8996141292947404,0.7189648028549337,0.7256986490490701,0.8183651816575169,0.7204295051274959,0.9464091438097787,0.9739797628043546,2947,6,4175,77.74,3420320,QmNWx4ZtwMGZ5DhbduXjsX4JdZtkYFA3XtcJLts4GP7EM2,Qmba2o7PHC53nsHPr9KeBeUp1U3VVsJTHrij6ixUBS229N,QmfUDXQCJYSWDAsu8cGgic5EJmKEfKRRtN1LTKPuXsb1ci,QmaS7aAnTXpgejyizC2dYjLub8Chy29pZTwwPNi8Hz9iw1,2026-06-24T22:03:06.392203,0.6232686980609419,0.8481675392670157,0.5416666666666666,0.6435555555555555,0.6718092566619915,0.9853211009174312
baseline_20260624_215747,baseline,UCIHAR,2,0.9032914828639295,0.3575260698636796,0.9051251768401277,0.9043791003202901,0.9082698934487475,0.9031904137533879,0.9805660525414842,0.9886249283394971,2947,6,4178,82.55,3420320,QmZELSinSzoVLffg78TSZsrM5ydf7D9cEqpSZJKKDWveRH,QmUvzStMSrJqWwF3PcRRhvnyRGwx9xfUBuHRTvzAP9AEr7,QmNrDVcFpymTnfTtB6Cs1onhtJKmvqc4Z9g4cLkSbVLQSq,QmR8jnag8nkVnLMuvUBGmtPpCU1cumteU3F45KWt21nCPS,2026-06-24T22:08:19.773630,0.9474789915966386,0.9748953974895398,0.9313725490196079,0.7575150300601202,0.8204193254329991,0.9990697674418605
baseline_20260624_215747,baseline,UCIHAR,3,0.9090600610790635,0.29163701800589864,0.9104010366215213,0.909550857443015,0.9108213893737068,0.9107506080945217,0.9817884286542085,0.9906170644861717,2947,6,4181,75.38,3420320,QmfPYgBZaFAuM1XZC8o4f1E35PGiA2UfvX48YRXSk6tyEV,QmVwQK9ViPycxVMqtqUD1kv6wQachzcC84Qr7v2Ce5BLiL,QmaEwbSfV2ivBFjFKg1xPyx5kvrdagPx1oCQaiRdDKxMwq,QmbKmk2s1Wwtn5v41bi4gEeD1FK5P1Noe7JanANa3YwuTx,2026-06-24T22:13:17.342827,0.9720207253886011,0.9709364908503767,0.9311926605504587,0.7814702920443102,0.8067860508953817,1.0
baseline_20260624_215747,baseline,UCIHAR,4,0.9090600610790635,0.27104215395260367,0.9097370122041029,0.9092563855651042,0.9101407321078522,0.910049765925764,0.9817841661510914,0.9903858320433535,2947,6,4184,78.9,3420320,QmXMYkAfco54b68wJrAdQBGtZzVu8eE2kdRDq8C2ZoFUJU,Qmaoa3vRv1wZQV5cezJwgUtUUwjYFS3yYsv4p8x9CS4Nah,QmYWfVMctM9SToAeDozvF6Z4nJbvDd3e1yEnX21w9gi9fm,QmZ1tnwVaAxLVGtB6zMWP4MMP3mFuvqADv1AqktqMT2Cyn,2026-06-24T22:18:21.057111,0.9661538461538461,0.9632829373650108,0.9241379310344827,0.7867494824016563,0.8180978762696214,1.0
baseline_20260624_225729,baseline,UCIHAR,0,0.166610111978283,1.7915509964557403,0.04840776890466331,0.04839134278694881,0.02831603229527105,0.16666666666666666,0.8334420130129884,0.4937977330158512,2947,6,4191,1782323862.35,3420320,QmYMdKSdn8cKWiWwWqpsLqwYCW5epNvAHHv2WzhiC6HWiU,QmTKRJ5o1xWgbrFBRjRdmtdEYUpESSmZZNoAvGvjJxot9u,,,2026-06-24T22:57:42.350761,0.0,0.0,0.0,0.2904466134279799,0.0,0.0
baseline_20260624_225729,baseline,UCIHAR,1,0.7146250424160163,0.8798991429044846,0.6889556556117107,0.6921143209446469,0.7793604898025678,0.708441647191361,0.9428349145970846,0.9711229629173473,2947,6,4194,78.3,3420320,QmV8wFUU2WVJjGxLohXAS8M2Ziw9kBuHY1NrT9zL1gwUgv,QmcV2Xr1hvj8Luym3NNTHCyYVvDdnAveYpP2F31QgXxsJ7,QmP8sPMBGfkbp7YmfKVLH7ewcWBdoNPJuCSu3QS2tfPqgW,QmUHkazT9G8HSXoQpGr4sJYF2GhFRXYriyTxyatBYv7EmU,2026-06-24T23:02:48.113433,0.3129251700680272,0.7282266526757608,0.7603092783505154,0.576,0.7618283881315157,0.9944444444444445
baseline_20260624_225729,baseline,UCIHAR,2,0.8920936545639634,0.40324438727916556,0.892799802241596,0.8927020906623149,0.8947973497130929,0.8949271019016053,0.9785087784750964,0.9862789800070747,2947,6,4197,77.47,3420320,QmaYteJPmpYdMvGprnJfdr3JZNTWEuN93BUooNoZ7fXmJx,QmZaoCVygeSH6XzAawewfnq8tRZdUyZuw8QSx22gqczvU2,QmU8fj3kLn4dYLMe7Adi3p5wBMip8SCAB27wKz94sw5SJB,QmaoViY7TPTWBTaBBHR1N1JxjwtfvXcYaga3D91LjmY8fM,2026-06-24T23:07:47.226117,0.9356223175965666,0.9201680672268907,0.9013157894736842,0.807843137254902,0.8203125,0.9715370018975332
